"","X","miasto","district","adres","cena","rodzaj","lon","lat","distrinct","link"
"1",1,"Warszawa","Ochota","Banacha 2",700,"Pokoj",20.9814998,52.2116736,"Ochota","http://www.gumtree.pl"
"2",2,"Warszawa","Ochota","Wawelska 15",800,"Mieszkanie",20.9836171,52.215882,"Ochota","http://www.gumtree.pl"
"3",3,"Warszawa","Praga","Saska 12",1000,"Pokoj",21.0666974,52.2266025,"Praga","http://www.gumtree.pl"
"4",4,"Warszawa","Wola","Ciolka 54",2000,"Pokoj",20.9429465,52.2463417,"Wola","http://www.gumtree.pl"
"5",5,"Warszawa","Mokotow","Postepu 14",1800,"Mieszkanie ",20.9977743,52.178512,"Mokotow","http://www.gumtree.pl"
"6",6,"Warszawa","Srodmiescie","Twarda 3",950,"Pokoj",21.001115,52.2345989,"Srodmiescie","http://www.gumtree.pl"
"7",7,"Warszawa","Praga","Rogalskiego 14",600,"Pokoj",21.0788609,52.2276038,"Praga","http://www.gumtree.pl"
"8",8,"Warszawa","Praga","Ostrobramska 100",1200,"Pokoj",21.094579,52.235482,"Praga","http://www.gumtree.pl"
"9",9,"Warszawa","Praga","Afrykanska 14",1000,"Pokoj",21.0702809,52.227283,"Praga","http://www.gumtree.pl"
"10",10,"Warszawa","Praga","Afrykanska 11",2400,"Mieszkanie",21.069422,52.227351,"Praga","http://www.gumtree.pl"
"11",11,"Warszawa","Praga ","Brazylijska 11",2000,"Mieszkanie",21.0654699,52.231344,"Praga","http://www.gumtree.pl"
"12",12,"Warszawa","Srodmiescie","Hoza 69",1400,"Pokoj",21.005543,52.224013,"Srodmiescie","http://www.gumtree.pl"
"13",13,"Warszawa","Srodmiescie","Zurawia 10",3500,"Mieszkanie",21.0185925,52.2290682,"Srodmiescie","http://www.gumtree.pl"
"14",14,"Warszawa","Srodmiescie","Chmielna 14",2000,"Pokoj",21.0166599,52.2327445,"Srodmiescie","http://www.gumtree.pl"
"15",15,"Warszawa","Srodmiescie","Krucza 37",1500,"Pokoj",21.0176876,52.2282158,"Srodmiescie","http://www.gumtree.pl"
"16",16,"Warszawa","Srodmiescie","Zlota 44",5000,"Mieszkanie",21.0026098,52.2309326,"Srodmiescie","http://www.gumtree.pl"
"17",17,"Warszawa","Wola ","Siedmiogrodzka 11",500,"Pokoj",20.9680389,52.231037,"Wola","http://www.gumtree.pl"
"18",18,"Warszawa","Wola","Plocka 55",2200,"Mieszkanie",20.9646996,52.2421255,"Wola","http://www.gumtree.pl"
"19",19,"Warszawa","Wola","Wolska 44",3800,"Mieszkanie",20.9692241,52.2344938,"Wola","http://www.gumtree.pl"
"20",20,"Warszawa","Wola","Bema 12",900,"Pokoj",20.9595782,52.2254885,"Wola","http://www.gumtree.pl"
"21",21,"Warszawa","Wola","Zytnia 48",2200,"Mieszkanie",20.9698819,52.239121,"Wola","http://www.gumtree.pl"
"22",22,"Warszawa","Wola","Dlugosza 10",1400,"Pokoj",20.9678455,52.2407197,"Wola","http://www.gumtree.pl"
"23",23,"Warszawa","Wola ","Agawy 3",800,"Pokoj",21.2215762,52.2169607,"Wola","http://www.gumtree.pl"
"24",24,"Warszawa","Mokotow","Smyczkowa 4",1200,"Pokoj",21.0159191,52.171595,"Mokotow","http://www.gumtree.pl"
"25",25,"Warszawa","Mokotow","Szurmowa 12",1300,"Pokoj",21.0137698,52.1712659,"Mokotow","http://www.gumtree.pl"
"26",26,"Warszawa","Mokotow","Orzycka 11",2700,"Pokoj",21.0044033,52.1730629,"Mokotow","http://www.gumtree.pl"
"27",27,"Warszawa","Mokotow","Irysowa 14",3300,"Mieszkanie",21.017819,52.1753749,"Mokotow","http://www.gumtree.pl"
"28",28,"Warszawa","Mokotow","Batuty 2",4800,"Mieszkanie",21.0247417,52.1722508,"Mokotow","http://www.gumtree.pl"
"29",29,"Warszawa","Mokotow","Kmicica 10",3600,"Mieszkanie",21.0230441,52.1742938,"Mokotow","http://www.gumtree.pl"
"30",30,"Warszawa","Mokotow","Rolna 36",1500,"Pokoj",20.811898,52.2885379,"Mokotow","http://www.gumtree.pl"
"31",31,"Warszawa","Ursynow","Ekologiczna 5",1000,"Pokoj",21.0623939,52.1297573,"Ursynow","http://www.gumtree.pl"
"32",32,"Warszawa","Ursynow","Wilczy Dol 11",900,"Pokoj",21.0561276,52.127845,"Ursynow","http://www.gumtree.pl"
"33",33,"Warszawa","Ursynow","Nowoczesna 12",800,"Pokoj",21.0532479,52.130283,"Ursynow","http://www.gumtree.pl"
"34",34,"Warszawa","Ursynow","Welniana 6",850,"Pokoj",21.0494619,52.1317569,"Ursynow","http://www.gumtree.pl"
"35",35,"Warszawa","Ursynow","Belgradzka 11",1000,"Pokoj",21.0537528,52.1386445,"Ursynow","http://www.gumtree.pl"
"36",36,"Warszawa","Ursynow","Lanciego 12",2800,"Mieszkanie",21.0571648,52.1457955,"Ursynow","http://www.gumtree.pl"
"37",37,"Warszawa","Ursus","Koronacyjna 11",2200,"Mieszkanie",20.8614529,52.203396,"Ursus","http://www.gumtree.pl"
"38",38,"Warszawa","Ursus","Listopadowa 14",500,"Pokoj",20.8681284,52.1983083,"Ursus","http://www.gumtree.pl"
"39",39,"Warszawa","Ursus","Jesienna 10",500,"Pokoj",20.8652394,52.1981668,"Ursus","http://www.gumtree.pl"
"40",40,"Warszawa","Ursus","Warszawska 39",700,"Pokoj",20.8653068,52.1954712,"Ursus","http://www.gumtree.pl"
"41",41,"Warszawa","Ursus ","Zagloby 10",1800,"Mieszkanie",20.8648087,52.1945541,"Ursus","http://www.gumtree.pl"
"42",42,"Warszawa","Bielany","Palisadowa 10",1900,"Mieszkanie",20.9075592,52.2940288,"Bielany","http://www.gumtree.pl"
"43",43,"Warszawa","Bielany","Burleska 11",2000,"Mieszkanie",20.8996809,52.2927089,"Bielany","http://www.gumtree.pl"
"44",44,"Warszawa","Bielany","Burleska 14",1000,"Pokoj",20.8988279,52.29398,"Bielany","http://www.gumtree.pl"
"45",45,"Warszawa","Bielany","Herbowa 2",700,"Pokoj",20.9023505,52.2974371,"Bielany","http://www.gumtree.pl"
"46",46,"Warszawa","Bielany","Opalin 4",750,"Pokoj",20.8871418,52.2846644,"Bielany","http://www.gumtree.pl"
"47",47,"Warszawa","Bielany","Olszynowa 11",800,"Pokoj",20.898968,52.281963,"Bielany","http://www.gumtree.pl"
"48",48,"Warszawa","Zoliborz","Slowackiego 10",900,"Pokoj",20.9818138,52.2697945,"Zoliborz","http://www.gumtree.pl"
"49",49,"Warszawa","Zoliborz","Potocka 10",2300,"Mieszkanie",20.9822963,52.2756571,"Zoliborz","http://www.gumtree.pl"
"50",50,"Warszawa","Zoliborz","Bieniewiecka 1",800,"Pokoj",20.9762391,52.2732769,"Zoliborz","http://www.gumtree.pl"
