"Gmina","TERYT"
"Abramów","0608022"
"Adamów","0611032"
"Adamów","0620012"
"Adamówka","1814022"
"Aleksandrów","0602022"
"Aleksandrów","1010012"
"Aleksandrów Kujawski","0401011"
"Aleksandrów Kujawski","0401042"
"Aleksandrów Łódzki","1020043"
"Alwernia","1203013"
"Andrespol","1006022"
"Andrychów","1218013"
"Andrzejewo","1416022"
"Annopol","0607023"
"Augustów","2001011"
"Augustów","2001022"
"Babiak","3009022"
"Babice","1203022"
"Babimost","0809013"
"Baborów","1602013"
"Baboszewo","1420032"
"Baćkowice","2606012"
"Bakałarzewo","2012012"
"Baligród","1821012"
"Bałtów","2607022"
"Banie","3206012"
"Banie Mazurskie","2818012"
"Baranowo","1415012"
"Baranów","0614022"
"Baranów","1405032"
"Baranów","3008012"
"Baranów Sandomierski","1820013"
"Barciany","2808022"
"Barcin","0419013"
"Barczewo","2814013"
"Bardo","0224013"
"Bargłów Kościelny","2001032"
"Barlinek","3210013"
"Bartoszyce","2801011"
"Bartoszyce","2801032"
"Baruchowo","0418022"
"Barwice","3215023"
"Batorz","0605012"
"Bądkowo","0401052"
"Bedlno","1002022"
"Bejsce","2603012"
"Belsk Duży","1406012"
"Bełchatów","1001011"
"Bełchatów","1001022"
"Bełżec","0618022"
"Bełżyce","0609013"
"Bemowo","1465028"
"Besko","1817022"
"Bestwina","2402022"
"Będków","1016022"
"Będzin","2401011"
"Będzino","3209012"
"Biała","1017012"
"Biała","1610013"
"Białaczów","1007012"
"Biała Piska","2816013"
"Biała Podlaska","0601032"
"Biała Rawska","1013023"
"Białe Błota","0403012"
"Białobrzegi","1401013"
"Białobrzegi","1810022"
"Białogard","3201011"
"Białogard","3201022"
"Białołęka","1465038"
"Białopole","0603022"
"Białośliwie","3019022"
"Białowieża","2005022"
"Biały Bór","3215033"
"Biały Dunajec","1217022"
"Biecz","1205023"
"Bielany","1429022"
"Bielany","1465048"
"Bielawa","0202011"
"Bielawy","1005022"
"Bielice","3212012"
"Bieliny","2604012"
"Bielsk","1419012"
"Bielsk Podlaski","2003011"
"Bielsk Podlaski","2003032"
"Bierawa","1603022"
"Bieruń","2414011"
"Bierutów","0214023"
"Bierzwnik","3202012"
"Biesiekierz","3209022"
"Bieżuń","1437013"
"Biłgoraj","0602011"
"Biłgoraj","0602032"
"Bircza","1813012"
"Biskupice","1219012"
"Biskupiec","2812022"
"Biskupiec","2814023"
"Biszcza","0602042"
"Bisztynek","2801043"
"Blachownia","2404013"
"Bledzew","0803012"
"Blizanów","3007012"
"Bliżyn","2610022"
"Błaszki","1014023"
"Błażowa","1816023"
"Błędów","1406022"
"Błonie","1432013"
"Bobolice","3209033"
"Bobowa","1205032"
"Bobowo","2213042"
"Bobrowice","0802022"
"Bobrowniki","0408022"
"Bobrowniki","2401042"
"Bobrowo","0402022"
"Bochnia","1201011"
"Bochnia","1201022"
"Boćki","2003042"
"Bodzanów","1419022"
"Bodzechów","2607032"
"Bodzentyn","2604023"
"Bogatynia","0225033"
"Bogdaniec","0801022"
"Bogoria","2612012"
"Boguchwała","1816032"
"Boguszów-Gorce","0221011"
"Boguty-Pianki","1416032"
"Bojadła","0809022"
"Bojanowo","3022013"
"Bojanów","1818022"
"Bojszowy","2414042"
"Bolesław","1204012"
"Bolesław","1212032"
"Bolesławiec","0201011"
"Bolesławiec","0201022"
"Bolesławiec","1018012"
"Boleszkowice","3210022"
"Bolimów","1015012"
"Bolków","0205023"
"Boniewo","0418032"
"Borek Wielkopolski","3004013"
"Borki","0615022"
"Borkowice","1423012"
"Borne Sulinowo","3215043"
"Boronów","2407022"
"Borowa","1811022"
"Borowie","1403032"
"Borów","0217012"
"Borzechów","0609022"
"Borzęcin","1202012"
"Borzytuchom","2201012"
"Bralin","3008022"
"Branice","1602022"
"Braniewo","2802011"
"Braniewo","2802022"
"Brańsk","2003021"
"Brańsk","2003052"
"Brańszczyk","1435012"
"Brąszewice","1014032"
"Brenna","2403042"
"Brochów","1428022"
"Brodnica","0402011"
"Brodnica","0402032"
"Brodnica","3026012"
"Brody","0811032"
"Brody","2611022"
"Brojce","3205012"
"Brok","1416043"
"Brójce","1006032"
"Brudzeń Duży","1419032"
"Brudzew","3027022"
"Brusy","2202023"
"Brwinów","1421033"
"Brzeg","1601011"
"Brzeg Dolny","0222013"
"Brzesko","1202023"
"Brzeszcze","1213023"
"Brześć Kujawski","0418043"
"Brzeziny","1021011"
"Brzeziny","1021022"
"Brzeziny","3007022"
"Brzeźnica","0810032"
"Brzeźnica","1218022"
"Brzeźnio","1014042"
"Brzeżno","3216022"
"Brzostek","1803022"
"Brzozie","0402042"
"Brzozów","1802013"
"Brzuze","0412022"
"Brzyska","1805022"
"Buczek","1003012"
"Buczkowice","2402032"
"Budry","2819012"
"Budziszewice","1016032"
"Budzów","1215032"
"Budzyń","3001022"
"Buk","3021033"
"Bukowiec","0414012"
"Bukowina Tatrzańska","1217032"
"Bukowno","1212011"
"Bukowsko","1817032"
"Bulkowo","1419042"
"Burzenin","1014052"
"Busko-Zdrój","2601013"
"Bychawa","0609033"
"Byczyna","1604013"
"Bystra-Sidzina","1215042"
"Bystrzyca Kłodzka","0208063"
"Bytnica","0802032"
"Bytom Odrzański","0804023"
"Bytoń","0411022"
"Bytów","2201023"
"Cedry Wielkie","2204022"
"Cedynia","3206023"
"Cegłów","1412042"
"Cekcyn","0416012"
"Ceków-Kolonia","3007032"
"Celestynów","1417032"
"Ceranów","1429032"
"Cewice","2208032"
"Charsznica","1208012"
"Chąśno","1005032"
"Chełm","0603032"
"Chełmek","1213033"
"Chełmiec","1210022"
"Chełmno","0404011"
"Chełmno","0404022"
"Chełm Śląski","2414052"
"Chełmża","0415011"
"Chełmża","0415022"
"Chęciny","2604033"
"Chlewiska","1430012"
"Chłopice","1804032"
"Chmielnik","1816042"
"Chmielnik","2604043"
"Chmielno","2205012"
"Choceń","0418052"
"Chocianów","0216013"
"Chociwel","3214023"
"Chocz","3020012"
"Choczewo","2215042"
"Chodecz","0418063"
"Chodel","0612012"
"Chodów","3009032"
"Chodzież","3001011"
"Chodzież","3001032"
"Chojna","3206033"
"Chojnice","2202011"
"Chojnice","2202032"
"Chojnów","0209011"
"Chojnów","0209022"
"Chorkówka","1807012"
"Choroszcz","2002013"
"Chorzele","1422023"
"Choszczno","3202023"
"Chotcza","1409012"
"Chrostkowo","0408032"
"Chrzanów","0605022"
"Chrzanów","1203033"
"Chrząstowice","1609012"
"Chrzypsko Wielkie","3014012"
"Chybie","2403052"
"Chynów","1406032"
"Ciasna","2407032"
"Ciechanowiec","2013023"
"Ciechanów","1402011"
"Ciechanów","1402022"
"Ciechocin","0405022"
"Ciechocinek","0401021"
"Cielądz","1013032"
"Ciepielów","1409022"
"Ciepłowody","0224022"
"Cieszanów","1809023"
"Cieszków","0213012"
"Cieszyn","2403011"
"Ciężkowice","1216013"
"Cisek","1603032"
"Cisna","1821022"
"Cmolas","1806012"
"Cybinka","0805013"
"Cyców","0610012"
"Czajków","3018012"
"Czaplinek","3203013"
"Czarna","1801032"
"Czarna","1803032"
"Czarna","1810032"
"Czarna Białostocka","2002023"
"Czarna Dąbrówka","2201032"
"Czarna Woda","2213011"
"Czarne","2203023"
"Czarnia","1415022"
"Czarnków","3002011"
"Czarnków","3002022"
"Czarnocin","1010022"
"Czarnocin","2603022"
"Czarnożyły","1017022"
"Czarny Bór","0221042"
"Czarny Dunajec","1211032"
"Czastary","1018022"
"Czchów","1202033"
"Czechowice-Dziedzice","2402043"
"Czeladź","2401021"
"Czemierniki","0615032"
"Czempiń","3011023"
"Czeremcha","2005032"
"Czermin","1811032"
"Czermin","3020022"
"Czernica","0223012"
"Czernice Borowe","1422032"
"Czernichów","1206012"
"Czernichów","2417022"
"Czerniejewo","3003023"
"Czerniewice","1016042"
"Czernikowo","0415032"
"Czersk","2202043"
"Czerwieńsk","0809033"
"Czerwin","1415032"
"Czerwińsk nad Wisłą","1420042"
"Czerwionka-Leszczyny","2412013"
"Czerwonak","3021042"
"Czerwonka","1411022"
"Człopa","3217023"
"Człuchów","2203011"
"Człuchów","2203032"
"Czorsztyn","1211042"
"Czosnów","1414022"
"Czudec","1819012"
"Czyże","2005042"
"Czyżew-Osada","2013032"
"Ćmielów","2607043"
"Daleszyce","2604053"
"Dalików","1011012"
"Damasławek","3028022"
"Damnica","2212022"
"Darłowo","3213011"
"Darłowo","3213032"
"Daszyna","1004022"
"Dąbie","0802042"
"Dąbie","3009043"
"Dąbrowa","0409012"
"Dąbrowa","1609022"
"Dąbrowa Białostocka","2011013"
"Dąbrowa Biskupia","0407022"
"Dąbrowa Chełmińska","0403022"
"Dąbrowa Tarnowska","1204023"
"Dąbrowa Zielona","2404022"
"Dąbrowice","1002032"
"Dąbrówka","1434052"
"Dąbrówno","2815022"
"Debrzno","2203043"
"Deszczno","0801032"
"Dębe Wielkie","1412052"
"Dębica","1803011"
"Dębica","1803042"
"Dęblin","0616011"
"Dębnica Kaszubska","2212032"
"Dębno","1202042"
"Dębno","3210033"
"Dębowa Kłoda","0613012"
"Dębowa Łąka","0417022"
"Dębowiec","1805032"
"Dębowiec","2403062"
"Długołęka","0223022"
"Długosiodło","1435022"
"Dłutów","1008032"
"Dmosin","1021032"
"Dobczyce","1209013"
"Dobiegniew","0806013"
"Dobra","1207032"
"Dobra","3027033"
"Dobra","3218013"
"Dobra (Szczecińska)","3211012"
"Dobrcz","0403032"
"Dobre","0411032"
"Dobre","1412062"
"Dobre Miasto","2814033"
"Dobrodzień","1608013"
"Dobromierz","0219032"
"Dobroń","1008042"
"Dobroszyce","0214032"
"Dobryszyce","1012022"
"Dobrzany","3214033"
"Dobrzeń Wielki","1609032"
"Dobrzyca","3020032"
"Dobrzyniewo Duże","2002032"
"Dobrzyń nad Wisłą","0408043"
"Dolice","3214042"
"Dolsk","3026023"
"Dołhobyczów","0604022"
"Domanice","1426012"
"Domaniewice","1005042"
"Domaniów","0215022"
"Domaradz","1802022"
"Domaszowice","1606012"
"Dominowo","3025012"
"Dopiewo","3021052"
"Dorohusk","0603042"
"Doruchów","3018022"
"Dragacz","0414022"
"Drawno","3202033"
"Drawsko","3002032"
"Drawsko Pomorskie","3203023"
"Drelów","0601042"
"Drezdenko","0806023"
"Drobin","1419053"
"Drohiczyn","2010023"
"Drużbice","1001032"
"Drwinia","1201032"
"Drzewica","1007023"
"Drzycim","0414032"
"Dubeninki","2818022"
"Dubicze Cerkiewne","2005052"
"Dubiecko","1813022"
"Dubienka","0603052"
"Dukla","1807023"
"Duszniki","3024022"
"Duszniki-Zdrój","0208011"
"Dwikozy","2609022"
"Dydnia","1802032"
"Dygowo","3208022"
"Dynów","1816011"
"Dynów","1816052"
"Dywity","2814042"
"Dziadkowice","2010032"
"Dziadowa Kłoda","0214042"
"Działdowo","2803011"
"Działdowo","2803022"
"Działoszyce","2608013"
"Działoszyn","1009013"
"Dziemiany","2206022"
"Dzierzążnia","1420052"
"Dzierzgoń","2216013"
"Dzierzgowo","1413022"
"Dzierzkowice","0607032"
"Dzierżoniów","0202021"
"Dzierżoniów","0202052"
"Dzikowiec","1806062"
"Dziwnów","3207013"
"Dzwola","0605032"
"Dźwierzuty","2817022"
"Elbląg","2804012"
"Ełk","2805011"
"Ełk","2805022"
"Fabianki","0418072"
"Fajsławice","0606022"
"Fałków","2605012"
"Filipów","2012022"
"Firlej","0608032"
"Frampol","0602053"
"Fredropol","1813032"
"Frombork","2802033"
"Frysztak","1819022"
"Gać","1814032"
"Galewice","1018032"
"Garbatka-Letnisko","1407012"
"Garbów","0609042"
"Gardeja","2207022"
"Garwolin","1403011"
"Garwolin","1403042"
"Gaszowice","2412022"
"Gawłuszowice","1811042"
"Gaworzyce","0216022"
"Gąbin","1419063"
"Gąsawa","0419022"
"Gdów","1219022"
"Giby","2009022"
"Gidle","1012032"
"Gielniów","1423022"
"Gierałtowice","2405032"
"Gietrzwałd","2814052"
"Gilowice","2417032"
"Gizałki","3020042"
"Giżycko","2806011"
"Giżycko","2806042"
"Glinojeck","1402033"
"Głogów","0203011"
"Głogów","0203022"
"Głogówek","1610023"
"Głogów Małopolski","1816063"
"Głowaczów","1407022"
"Głowno","1020011"
"Głowno","1020052"
"Główczyce","2212042"
"Głubczyce","1602033"
"Głuchołazy","1607013"
"Głuchów","1015022"
"Głusk","0609052"
"Głuszyca","0221053"
"Gniew","2214023"
"Gniewino","2215052"
"Gniewkowo","0407033"
"Gniewoszów","1407032"
"Gniezno","3003011"
"Gniezno","3003032"
"Gnojnik","1202052"
"Gnojno","2601022"
"Goczałkowice-Zdrój","2410012"
"Godkowo","2804022"
"Godów","2415052"
"Godzianów","1015032"
"Godziesze Wielkie","3007042"
"Godziszów","0605042"
"Gogolin","1605013"
"Golczewo","3207023"
"Goleniów","3204023"
"Goleszów","2403072"
"Golina","3010013"
"Golub-Dobrzyń","0405011"
"Golub-Dobrzyń","0405032"
"Gołańcz","3028033"
"Gołcza","1208022"
"Gołdap","2818033"
"Gołuchów","3020052"
"Gołymin-Ośrodek","1402042"
"Gomunice","1012042"
"Goniądz","2008013"
"Goraj","0602062"
"Gorlice","1205011"
"Gorlice","1205042"
"Gorzkowice","1010032"
"Gorzków","0606032"
"Gorzów Śląski","1608023"
"Gorzyce","1820022"
"Gorzyce","2415062"
"Gostycyn","0416022"
"Gostynin","1404011"
"Gostynin","1404022"
"Gostyń","3004023"
"Goszczanów","1014062"
"Goszczyn","1406042"
"Gościeradów","0607042"
"Gościno","3208032"
"Gowarczów","2605022"
"Goworowo","1415042"
"Gozdnica","0810011"
"Gozdowo","1427022"
"Góra","0204013"
"Góra Kalwaria","1418013"
"Góra Świętej Małgorzaty","1004032"
"Górno","2604062"
"Górowo Iławeckie","2801021"
"Górowo Iławeckie","2801052"
"Górzno","0402053"
"Górzno","1403052"
"Górzyca","0805022"
"Gózd","1425022"
"Grabica","1010042"
"Grabowiec","0620022"
"Grabowo","2006022"
"Grabów","1004042"
"Grabów nad Pilicą","1407042"
"Grabów nad Prosną","3018033"
"Grajewo","2004011"
"Grajewo","2004022"
"Granowo","3005012"
"Grążawy","0402062"
"Grębków","1433022"
"Grębocice","0216032"
"Gręboszów","1204032"
"Grębów","1820032"
"Grodków","1601033"
"Grodziczno","2812032"
"Grodziec","3010022"
"Grodzisk","2010042"
"Grodzisk Mazowiecki","1405043"
"Grodzisko Dolne","1808022"
"Grodzisk Wielkopolski","3005023"
"Gromadka","0201032"
"Gromnik","1216022"
"Gronowo Elbląskie","2804032"
"Gródek","2002042"
"Gródek nad Dunajcem","1210032"
"Grójec","1406053"
"Grudusk","1402052"
"Grudziądz","0406012"
"Grunwald","2815032"
"Gruta","0406022"
"Grybów","1210011"
"Grybów","1210042"
"Gryfice","3205023"
"Gryfino","3206043"
"Gryfów Śląski","0212013"
"Grzegorzew","3009052"
"Grzmiąca","3215052"
"Gubin","0802011"
"Gubin","0802052"
"Gzy","1424012"
"Haczów","1802042"
"Hajnówka","2005011"
"Hajnówka","2005062"
"Halinów","1412073"
"Hanna","0619022"
"Hańsk","0619032"
"Harasiuki","1812012"
"Hażlach","2403082"
"Hel","2211011"
"Herby","2407042"
"Horodło","0604032"
"Horyniec-Zdrój","1809032"
"Hrubieszów","0604011"
"Hrubieszów","0604042"
"Huszlew","1410012"
"Hyżne","1816072"
"Igołomia-Wawrzeńczyce","1206022"
"Iława","2807011"
"Iława","2807032"
"Iłowa","0810043"
"Iłowo-Osada","2803032"
"Iłów","1428032"
"Iłża","1425033"
"Imielin","2414021"
"Imielno","2602012"
"Inowłódz","1016052"
"Inowrocław","0407011"
"Inowrocław","0407042"
"Ińsko","3214053"
"Irządze","2416032"
"Istebna","2403092"
"Iwaniska","2606022"
"Iwanowice","1206032"
"Iwierzyce","1815012"
"Iwkowa","1202062"
"Iwonicz-Zdrój","1807033"
"Izabelin","1432022"
"Izbica","0606042"
"Izbica Kujawska","0418083"
"Izbicko","1611012"
"Jabłonka","1211052"
"Jabłonna","0609062"
"Jabłonna","1408022"
"Jabłonna Lacka","1429042"
"Jabłonowo Pomorskie","0402073"
"Jabłoń","0613022"
"Jadów","1434062"
"Jaktorów","1405052"
"Jakubów","1412082"
"Janikowo","0407053"
"Janowice Wielkie","0206052"
"Janowiec","0614032"
"Janowiec Kościelny","2811012"
"Janowiec Wielkopolski","0419033"
"Janowo","2811022"
"Janów","2011022"
"Janów","2404032"
"Janów Lubelski","0605053"
"Janów Podlaski","0601052"
"Jaraczewo","3006012"
"Jarczów","0618032"
"Jarocin","1812022"
"Jarocin","3006023"
"Jarosław","1804011"
"Jarosław","1804042"
"Jasienica","2402052"
"Jasienica Rosielna","1802052"
"Jasieniec","1406062"
"Jasień","0811043"
"Jasionówka","2008022"
"Jasło","1805011"
"Jasło","1805042"
"Jastarnia","2211021"
"Jastków","0609072"
"Jastrowie","3031023"
"Jastrząb","1430022"
"Jastrzębia","1425042"
"Jaświły","2008032"
"Jawor","0205011"
"Jawornik Polski","1814042"
"Jaworze","2402062"
"Jaworzyna Śląska","0219043"
"Jedlicze","1807043"
"Jedlina-Zdrój","0221021"
"Jedlińsk","1425052"
"Jedlnia-Letnisko","1425062"
"Jednorożec","1422042"
"Jedwabne","2007013"
"Jedwabno","2817032"
"Jejkowice","2412032"
"Jelcz-Laskowice","0215033"
"Jeleniewo","2012032"
"Jeleśnia","2417042"
"Jemielnica","1611022"
"Jemielno","0204022"
"Jerzmanowa","0203032"
"Jerzmanowice-Przeginia","1206042"
"Jeziorany","2814063"
"Jeziora Wielkie","0409022"
"Jeziorzany","0608042"
"Jeżewo","0414042"
"Jeżowe","1812032"
"Jeżów","1021042"
"Jeżów Sudecki","0206062"
"Jędrzejów","2602023"
"Jodłowa","1803052"
"Jodłownik","1207042"
"Joniec","1420062"
"Jonkowo","2814072"
"Jordanów","1215011"
"Jordanów","1215052"
"Jordanów Śląski","0223032"
"Józefów","0602073"
"Józefów","1417011"
"Józefów nad Wisłą","0612022"
"Juchnowiec Kościelny","2002052"
"Jutrosin","3022023"
"Kaczory","3019032"
"Kadzidło","1415052"
"Kalety","2413011"
"Kalinowo","2805032"
"Kaliska","2213052"
"Kalisz Pomorski","3203033"
"Kalwaria Zebrzydowska","1218033"
"Kałuszyn","1412093"
"Kamienica","1207052"
"Kamienica Polska","2404042"
"Kamieniec","3005032"
"Kamieniec Ząbkowicki","0224032"
"Kamienna Góra","0207011"
"Kamienna Góra","0207022"
"Kamiennik","1607022"
"Kamień","0603062"
"Kamień","1816082"
"Kamień Krajeński","0413013"
"Kamień Pomorski","3207033"
"Kamieńsk","1012053"
"Kamionka","0608052"
"Kamionka Wielka","1210052"
"Kampinos","1432032"
"Kańczuga","1814053"
"Karczew","1417043"
"Karczmiska","0612032"
"Kargowa","0809043"
"Karlino","3201033"
"Karnice","3205032"
"Karniewo","1411032"
"Karpacz","0206011"
"Karsin","2206032"
"Kartuzy","2205023"
"Kawęczyn","3027042"
"Kazanów","1436012"
"Kazimierza Wielka","2603033"
"Kazimierz Biskupi","3010032"
"Kazimierz Dolny","0614043"
"Kaźmierz","3024032"
"Kąkolewnica Wschodnia","0615042"
"Kąty Wrocławskie","0223043"
"Kcynia","0410013"
"Kędzierzyn-Koźle","1603011"
"Kępice","2212053"
"Kępno","3008033"
"Kęsowo","0416032"
"Kętrzyn","2808011"
"Kętrzyn","2808032"
"Kęty","1213043"
"Kiełczygłów","1009022"
"Kiernozia","1005052"
"Kietrz","1602043"
"Kije","2608022"
"Kijewo Królewskie","0404032"
"Kikół","0408052"
"Kisielice","2807043"
"Kiszkowo","3003042"
"Kiwity","2809022"
"Kleczew","3010043"
"Klembów","1434072"
"Kleszczele","2005073"
"Kleszczewo","3021062"
"Kleszczów","1001042"
"Klimontów","2609032"
"Klonowa","1014072"
"Kluczbork","1604023"
"Klucze","1212042"
"Kluczewsko","2613012"
"Kluki","1001052"
"Klukowo","2013042"
"Klwów","1423032"
"Kłaj","1219032"
"Kłecko","3003053"
"Kłobuck","2406013"
"Kłoczew","0616022"
"Kłodawa","0801042"
"Kłodawa","3009063"
"Kłodzko","0208021"
"Kłodzko","0208072"
"Kłomnice","2404052"
"Knurów","2405011"
"Knyszyn","2008043"
"Kobiele Wielkie","1012062"
"Kobierzyce","0223052"
"Kobiór","2410022"
"Kobyla Góra","3018042"
"Kobylanka","3214062"
"Kobylin","3012023"
"Kobylin-Borzymy","2013052"
"Kobylnica","2212062"
"Kobyłka","1434011"
"Kochanowice","2407052"
"Kocierzew Południowy","1005062"
"Kock","0608063"
"Kocmyrzów-Luborzyca","1206052"
"Koczała","2203052"
"Kodeń","0601062"
"Kodrąb","1012072"
"Kolbudy","2204032"
"Kolbuszowa","1806023"
"Kolno","2006011"
"Kolno","2006032"
"Kolno","2814082"
"Kolonowskie","1611033"
"Kolsko","0804032"
"Koluszki","1006073"
"Kołaczkowo","3030012"
"Kołaczyce","1805052"
"Kołaki Kościelne","2014022"
"Kołbaskowo","3211022"
"Kołbiel","1417052"
"Kołczygłowy","2201042"
"Koło","3009011"
"Koło","3009072"
"Kołobrzeg","3208011"
"Kołobrzeg","3208042"
"Komańcza","1817042"
"Komarówka Podlaska","0615052"
"Komarów-Osada","0620032"
"Komorniki","3021072"
"Komprachcice","1609042"
"Konarzyny","2202052"
"Kondratowice","0217022"
"Koneck","0401062"
"Koniecpol","2404063"
"Koniusza","1214012"
"Konopiska","2404072"
"Konopnica","0609082"
"Konopnica","1017032"
"Konstancin-Jeziorna","1418023"
"Konstantynów","0601072"
"Konstantynów Łódzki","1008011"
"Końskie","2605033"
"Końskowola","0614052"
"Koprzywnica","2609043"
"Korczew","1426022"
"Korczyna","1807052"
"Korfantów","1607033"
"Kornowac","2411022"
"Koronowo","0403043"
"Korsze","2808043"
"Korycin","2011032"
"Korytnica","1433032"
"Korzenna","1210062"
"Kosakowo","2211052"
"Kosów Lacki","1429053"
"Kostomłoty","0218012"
"Kostrzyn","3021083"
"Kostrzyn nad Odrą","0801011"
"Koszarawa","2417052"
"Koszęcin","2407062"
"Koszyce","1214022"
"Kościan","3011011"
"Kościan","3011032"
"Kościelec","3009082"
"Kościelisko","1217042"
"Kościerzyna","2206011"
"Kościerzyna","2206042"
"Kotla","0203042"
"Kotlin","3006032"
"Kotuń","1426032"
"Kowal","0418011"
"Kowal","0418092"
"Kowala","1425072"
"Kowale Oleckie","2813032"
"Kowalewo Pomorskie","0405043"
"Kowary","0206021"
"Kowiesy","1015042"
"Koziegłowy","2409023"
"Kozielice","3212022"
"Kozienice","1407053"
"Kozłowo","2811032"
"Kozłów","1208032"
"Kozy","2402072"
"Koźminek","3007052"
"Koźmin Wielkopolski","3012033"
"Kożuchów","0804043"
"Kórnik","3021093"
"Krajenka","3031033"
"Kramsk","3010052"
"Krapkowice","1605023"
"Krasiczyn","1813042"
"Krasne","1422052"
"Krasne","1816092"
"Krasnobród","0620043"
"Krasnopol","2009032"
"Krasnosielc","1411042"
"Krasnystaw","0606011"
"Krasnystaw","0606052"
"Krasocin","2613022"
"Kraszewice","3018052"
"Kraśniczyn","0606062"
"Kraśnik","0607011"
"Kraśnik","0607052"
"Krempna","1805062"
"Krobia","3004033"
"Kroczyce","2416042"
"Krokowa","2211062"
"Krosno Odrzańskie","0802063"
"Krościenko nad Dunajcem","1211062"
"Krościenko Wyżne","1807062"
"Krośnice","0213022"
"Krośniewice","1002043"
"Krotoszyce","0209032"
"Krotoszyn","3012043"
"Kruklanki","2806052"
"Krupski Młyn","2413052"
"Kruszwica","0407063"
"Kruszyna","2404082"
"Krynica Morska","2210011"
"Krynica-Zdrój","1210073"
"Krynice","0618042"
"Krynki","2011042"
"Krypno","2008052"
"Krzanowice","2411033"
"Krzczonów","0609092"
"Krzemieniewo","3013012"
"Krzepice","2406023"
"Krzeszowice","1206063"
"Krzeszów","1812042"
"Krzeszyce","0807012"
"Krzęcin","3202042"
"Krzykosy","3025022"
"Krzymów","3010062"
"Krzynowłoga Mała","1422062"
"Krzywcza","1813052"
"Krzywda","0611042"
"Krzywiń","3011043"
"Krzyżanowice","2411042"
"Krzyżanów","1002052"
"Krzyż Wielkopolski","3002043"
"Ksawerów","1008052"
"Książki","0417032"
"Książ Wielki","1208042"
"Książ Wielkopolski","3026033"
"Księżpol","0602082"
"Kuczbork-Osada","1437022"
"Kudowa-Zdrój","0208031"
"Kulesze Kościelne","2013062"
"Kunice","0209042"
"Kunów","2607053"
"Kurów","0614062"
"Kuryłówka","1808032"
"Kurzętnik","2812042"
"Kuślin","3015012"
"Kutno","1002011"
"Kutno","1002062"
"Kuźnia Raciborska","2411053"
