"name.long","name.short","name.gen","district","type","adres"
"Skwer 1 Dywizji Grenadierów - Francja 1940","Skwer 1 Dyw.Grenadierów-Francja 1940","Skweru 1 Dywizji Grenadierów - Francja 1940","Praga-Południe","Skwer","Skwer 1 Dyw.Grenadierów-Francja 1940"
"Skwer 1 Dywizji Pancernej WP","Skwer 1 Dywizji Pancernej WP","Skweru 1 Dywizji Pancernej WP","Śródmieście","Skwer","Skwer 1 Dywizji Pancernej WP"
"ulica 1 Maja","ul. 1 Maja","ulicy 1 Maja","Ursus","ulica","1 Maja"
"ulica 1 Maja","ul. 1 Maja","ulicy 1 Maja","Wesoła","ulica","1 Maja"
"ulica 1 Praskiego Pułku WP","ul. 1 Praskiego Pułku","ulicy 1 Praskiego Pułku WP","Praga-Południe","ulica","1 Praskiego Pułku"
"ulica 1 Praskiego Pułku WP","ul. 1 Praskiego Pułku","ulicy 1 Praskiego Pułku WP","Wesoła","ulica","1 Praskiego Pułku"
"ulica 1 Sierpnia","ul. 1 Sierpnia","ulicy 1 Sierpnia","Włochy","ulica","1 Sierpnia"
"ulica 11 Listopada","ul. 11 Listopada","ulicy 11 Listopada","Praga-Północ,Targówek","ulica","11 Listopada"
"ulica 111 Eskadry Myśliwskiej","ul. 111 Eskadry Myśliwskiej","ulicy 111 Eskadry Myśliwskiej","Wesoła","ulica","111 Eskadry Myśliwskiej"
"ulica 15 Sierpnia","ul. 15 Sierpnia","ulicy 15 Sierpnia","Białołęka","ulica","15 Sierpnia"
"Skwer 16 Września 1944 r.","Skwer 16 Września 1944 r.","Skweru 16 Września 1944 r.","Włochy","Skwer","Skwer 16 Września 1944 r."
"ulica 17 Stycznia","ul. 17 Stycznia","ulicy 17 Stycznia","Włochy","ulica","17 Stycznia"
"Plac 1831 Roku","pl. 1831 Roku","Placu 1831 Roku","Praga-Południe","Plac","pl. 1831 Roku"
"Plac 1905 Roku","pl. 1905 Roku","Placu 1905 Roku","Ursus","Plac","pl. 1905 Roku"
"ulica 20 Dywizji Piechoty WP","ul. 20 Dywizji Piechoty WP","ulicy 20 Dywizji Piechoty WP","Targówek","ulica","20 Dywizji Piechoty WP"
"ulica 21 Pułku Piechoty Dzieci Warszawy","ul. 21 PP Dzieci Warszawy","ulicy 21 Pułku Piechoty Dzieci Warszawy","Praga-Południe","ulica","21 PP Dzieci Warszawy"
"ulica 27 Grudnia","ul. 27 Grudnia","ulicy 27 Grudnia","Wawer","ulica","27 Grudnia"
"ulica 29 Listopada","ul. 29 Listopada","ulicy 29 Listopada","Śródmieście","ulica","29 Listopada"
